Temperature,GDP
-5.29,23791.84
-4.94,-5139.47
-0.54,-18507.02
1.76,-21839.69
2.16,-22445.79
1.81,18668.26
1.85,20800.58
2.16,22934.92
1.63,39986.70
5.67,27834.72
6.43,26317.63
8.69,33644.51
8.78,71716.25
27.34,98964.15
27.20,33176.34
27.07,34698.16
26.63,47182.09
23.21,34364.19
25.52,25549.28
22.19,20955.40
21.74,23388.56
24.94,12753.00
24.81,4224.07
24.72,-1563.41
24.63,-5828.04
25.12,-5215.19
25.47,-6126.19
25.65,-8561.38
25.56,-9475.77
25.65,-23789.81
26.00,-24091.67
26.14,-24090.66
26.89,-22562.07
27.07,-22560.72
27.07,-21951.58
27.29,-22559.03
27.74,-22555.65
28.22,-21942.79
28.22,-20724.52
28.22,-17678.83
24.63,-18924.49
24.89,-21663.58
24.94,-21663.24
25.12,-22271.02
25.12,-22880.16
25.25,-21965.44
25.92,-21960.37
26.05,-20436.51
26.05,-19218.24
24.67,-12223.64
24.67,-14660.19
25.12,-13438.54
25.38,-15263.92
25.03,-9479.82
21.30,-23518.37
21.83,-21991.47
21.52,-18339.01
21.96,-17726.50
22.41,-17723.12
22.54,-16503.83
21.88,-13767.78
22.10,-22598.58
23.07,-22591.14
22.72,-23812.12
22.50,-23204.67
23.52,-20151.21
23.52,-18323.80
23.56,-19846.31
23.56,-20150.88
23.83,-22889.96
24.05,-23801.98
24.05,-21670.00
24.05,-19842.59
18.01,-23238.82
19.97,-23833.08
20.37,-21088.92
22.54,-7366.77
22.54,-6453.07
21.56,-4937.66
21.17,-6768.11
26.98,-10683.22
26.80,-7334.32
26.18,-3379.66
25.92,-1249.71
26.14,3320.51
25.78,6972.62
27.34,5157.04
27.29,7897.82
17.44,-9233.06
17.84,-11057.43
15.22,-15950.47
12.02,-22370.74
12.11,-20542.66
10.11,-14771.07
9.89,-11727.07
9.58,-21475.63
7.31,-17228.91
7.49,-18141.26
7.09,-15098.62
6.56,-9315.88
6.29,-5967.65
6.43,-2311.81
8.02,-472.23
9.76,20860.75
9.45,23599.50
9.45,25731.48
7.67,20235.72
8.69,18416.09
8.51,21155.85
9.05,10195.44
10.82,17214.04
11.22,17217.08
11.53,13869.19
7.67,8052.98
6.83,3173.46
10.73,-8979.53
10.73,-12329.79
15.31,4151.73
15.48,6894.20
13.66,12058.01
13.35,12664.78
17.13,-18981.62
17.88,-18062.16
18.24,-18059.46
12.73,-24192.75
12.15,-12623.54
11.13,-6539.94
11.04,-2885.80
9.93,-1980.54
8.87,-10212.00
5.18,419.84
5.80,-5971.37
6.03,-17847.85
8.20,-23618.09
8.47,-15088.14
8.56,-4427.57
10.64,8684.77
13.88,-21747.41
11.53,-15369.39
14.91,-4379.23
16.50,-6194.47
17.79,-6489.24
18.72,10269.13
19.35,5705.34
19.35,13014.98
19.35,-13482.48
19.83,-11955.92
26.09,-14953.94
25.96,-13432.11
26.40,-13733.30
27.74,-13418.59
27.11,-17991.85
26.71,-17690.33
20.14,-15608.38
